standard_job,standard_category,month,month_index,skill,skill_stage,skill_trend_type,planned_jd_count,skill_probability,expected_skill_count
大模型算法工程师,AI算法,2024-12,1,强化学习,new,先上升后稳定,2,0.1645,0
大模型算法工程师,AI算法,2025-01,2,强化学习,new,先上升后稳定,1,0.1995,0
大模型算法工程师,AI算法,2025-02,3,强化学习,new,先上升后稳定,1,0.2505,0
大模型算法工程师,AI算法,2025-03,4,强化学习,new,先上升后稳定,1,0.3436,0
大模型算法工程师,AI算法,2025-04,5,强化学习,new,先上升后稳定,2,0.3575,1
大模型算法工程师,AI算法,2025-05,6,强化学习,new,先上升后稳定,2,0.4092,1
大模型算法工程师,AI算法,2025-06,7,强化学习,new,先上升后稳定,2,0.4467,1
大模型算法工程师,AI算法,2025-07,8,强化学习,new,先上升后稳定,2,0.5196,1
大模型算法工程师,AI算法,2025-08,9,强化学习,new,先上升后稳定,2,0.5656,1
大模型算法工程师,AI算法,2025-09,10,强化学习,new,先上升后稳定,2,0.6665,1
大模型算法工程师,AI算法,2025-10,11,强化学习,new,先上升后稳定,3,0.6693,2
大模型算法工程师,AI算法,2025-11,12,强化学习,new,先上升后稳定,3,0.5929,2
大模型算法工程师,AI算法,2025-12,13,强化学习,new,先上升后稳定,3,0.5780,2
大模型算法工程师,AI算法,2026-01,14,强化学习,new,先上升后稳定,4,0.6364,3
大模型算法工程师,AI算法,2026-02,15,强化学习,new,先上升后稳定,3,0.6223,2
大模型算法工程师,AI算法,2026-03,16,强化学习,new,先上升后稳定,3,0.5584,2
大模型算法工程师,AI算法,2026-04,17,强化学习,new,先上升后稳定,3,0.5604,2
大模型算法工程师,AI算法,2026-05,18,强化学习,new,先上升后稳定,5,0.5819,3
大模型算法工程师,AI算法,2026-06,19,强化学习,new,先上升后稳定,4,0.6069,2
大模型算法工程师,AI算法,2026-07,20,强化学习,new,先上升后稳定,4,0.5736,2
大模型算法工程师,AI算法,2024-12,1,LLM,new,先上升后稳定,2,0.1721,0
大模型算法工程师,AI算法,2025-01,2,LLM,new,先上升后稳定,1,0.2030,0
大模型算法工程师,AI算法,2025-02,3,LLM,new,先上升后稳定,1,0.2681,0
大模型算法工程师,AI算法,2025-03,4,LLM,new,先上升后稳定,1,0.3122,0
大模型算法工程师,AI算法,2025-04,5,LLM,new,先上升后稳定,2,0.3365,1
大模型算法工程师,AI算法,2025-05,6,LLM,new,先上升后稳定,2,0.4015,1
大模型算法工程师,AI算法,2025-06,7,LLM,new,先上升后稳定,2,0.4329,1
大模型算法工程师,AI算法,2025-07,8,LLM,new,先上升后稳定,2,0.5201,1
大模型算法工程师,AI算法,2025-08,9,LLM,new,先上升后稳定,2,0.5154,1
大模型算法工程师,AI算法,2025-09,10,LLM,new,先上升后稳定,2,0.6455,1
大模型算法工程师,AI算法,2025-10,11,LLM,new,先上升后稳定,3,0.7018,2
大模型算法工程师,AI算法,2025-11,12,LLM,new,先上升后稳定,3,0.7223,2
大模型算法工程师,AI算法,2025-12,13,LLM,new,先上升后稳定,3,0.6992,2
大模型算法工程师,AI算法,2026-01,14,LLM,new,先上升后稳定,4,0.7406,3
大模型算法工程师,AI算法,2026-02,15,LLM,new,先上升后稳定,3,0.6524,2
大模型算法工程师,AI算法,2026-03,16,LLM,new,先上升后稳定,3,0.7104,2
大模型算法工程师,AI算法,2026-04,17,LLM,new,先上升后稳定,3,0.7015,2
大模型算法工程师,AI算法,2026-05,18,LLM,new,先上升后稳定,5,0.6825,3
大模型算法工程师,AI算法,2026-06,19,LLM,new,先上升后稳定,4,0.7016,3
大模型算法工程师,AI算法,2026-07,20,LLM,new,先上升后稳定,4,0.6067,2
大模型算法工程师,AI算法,2024-12,1,TensorFlow,new,先上升后稳定,2,0.2441,0
大模型算法工程师,AI算法,2025-01,2,TensorFlow,new,先上升后稳定,1,0.2693,0
大模型算法工程师,AI算法,2025-02,3,TensorFlow,new,先上升后稳定,1,0.3012,0
大模型算法工程师,AI算法,2025-03,4,TensorFlow,new,先上升后稳定,1,0.3279,0
大模型算法工程师,AI算法,2025-04,5,TensorFlow,new,先上升后稳定,2,0.3418,1
大模型算法工程师,AI算法,2025-05,6,TensorFlow,new,先上升后稳定,2,0.4296,1
大模型算法工程师,AI算法,2025-06,7,TensorFlow,new,先上升后稳定,2,0.4653,1
大模型算法工程师,AI算法,2025-07,8,TensorFlow,new,先上升后稳定,2,0.4970,1
大模型算法工程师,AI算法,2025-08,9,TensorFlow,new,先上升后稳定,2,0.4932,1
大模型算法工程师,AI算法,2025-09,10,TensorFlow,new,先上升后稳定,2,0.5692,1
大模型算法工程师,AI算法,2025-10,11,TensorFlow,new,先上升后稳定,3,0.5634,2
大模型算法工程师,AI算法,2025-11,12,TensorFlow,new,先上升后稳定,3,0.6413,2
大模型算法工程师,AI算法,2025-12,13,TensorFlow,new,先上升后稳定,3,0.6177,2
大模型算法工程师,AI算法,2026-01,14,TensorFlow,new,先上升后稳定,4,0.6298,3
大模型算法工程师,AI算法,2026-02,15,TensorFlow,new,先上升后稳定,3,0.6378,2
大模型算法工程师,AI算法,2026-03,16,TensorFlow,new,先上升后稳定,3,0.7086,2
大模型算法工程师,AI算法,2026-04,17,TensorFlow,new,先上升后稳定,3,0.7050,2
大模型算法工程师,AI算法,2026-05,18,TensorFlow,new,先上升后稳定,5,0.6368,3
大模型算法工程师,AI算法,2026-06,19,TensorFlow,new,先上升后稳定,4,0.6423,3
大模型算法工程师,AI算法,2026-07,20,TensorFlow,new,先上升后稳定,4,0.6914,3
大模型算法工程师,AI算法,2024-12,1,计算机视觉,new,持续上升,2,0.1780,0
大模型算法工程师,AI算法,2025-01,2,计算机视觉,new,持续上升,1,0.2139,0
